	A	Coef	t	P.value	P.value.adj	F	F.p.value
miR.132.3p	2.92476515448699	0.0867413639249492	1.00133923735968	0.318028820549931	0.44034759768452	1.00268026827606	0.318028820549931
miR.148a.3p	4.38234727413189	0.0527971066143769	0.762667463480221	0.446676219332752	0.574297996284967	0.581661659851354	0.446676219332752
miR.150.5p	3.84358153657605	0.034086957041144	0.664763837552063	0.507071020321744	0.584310544488513	0.441910959716945	0.507071020321744
miR.16.5p	6.05962179637622	0.0964577986398618	1.5052836810428	0.134042426251388	0.268084852502777	2.26587896041376	0.134042426251388
miR.192.5p	3.66995502374836	0.126369400122361	1.98443288326183	0.0487518447161498	0.26287978262011	3.93797386817086	0.0487518447161498
miR.199a.5p	3.48558549753018	0.0604113273434277	0.519508319812006	0.604054892311914	0.639587533036144	0.269888894353893	0.604054892311914
miR.21.5p	5.7986488911486	0.0438816971434646	0.645579486555816	0.519387150656456	0.584310544488513	0.416772873461672	0.519387150656456
miR.214.3p	2.65715370479113	0.00364145774438507	0.0520084619584779	0.958580890363021	0.958580890363021	0.00270488011528644	0.958580890363021
miR.23a.3p	5.49952326225857	0.123915394829281	1.64269103098941	0.102231026574487	0.26287978262011	2.69843382329305	0.102231026574487
miR.27a.3p	4.77574896063673	0.114732245256071	1.31018407703124	0.191830099445264	0.345294179001475	1.71658231570621	0.191830099445264
miR.27b.3p	4.66751996471886	0.104560251357634	1.24910600645508	0.213274536729245	0.348994696466037	1.56026581536217	0.213274536729245
miR.323a.3p	2.73748060886284	0.156242657918738	1.65622523232753	0.0994466709466937	0.26287978262011	2.74308202019839	0.0994466709466937
miR.451a	6.51693643857512	0.110181487418193	1.80048132151143	0.0734860959584372	0.26287978262011	3.24173298911155	0.0734860959584372
miR.486.5p	5.56210815435299	0.129160923278538	2.15495653226564	0.0325154549975941	0.26287978262011	4.64383765595436	0.0325154549975941
miR.491.5p	2.41510552221381	0.136762656884238	1.82380076396679	0.0698771774444151	0.26287978262011	3.32624922664584	0.0698771774444151
miR.92a.3p	5.81470778055925	0.0814797323420651	1.55205454560408	0.122434103696714	0.268084852502777	2.4088733125303	0.122434103696714
miR.93.5p	4.83659892466491	0.178634112829122	2.4112361692464	0.0169264363088944	0.26287978262011	5.81405986388208	0.0169264363088944
miR.98.5p	3.08532835367461	0.130486223495845	1.19276367640792	0.234557295255516	0.351835942883273	1.42268518775815	0.234557295255516
